School Name,School Type,School Level,Title 1 Eligible,Phone Number,Phone Type,Language,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Share Name,Answers Created At, Feedback,
School 1,Public,Elementary School,TRUE,377-780-381,mobile,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE,1/31/23 17:26,1,
School 1,Public,Elementary School,TRUE,847-636-531,mobile,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:55,1,
School 1,Public,Elementary School,TRUE,357-333-861,mobile,English,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:00,1,
School 1,Public,Elementary School,TRUE,598-305-649,mobile,English,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,2/1/23 5:43,1,
School 1,Public,Elementary School,TRUE,488-266-872,mobile,English,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,1/31/23 16:03,1,
School 1,Public,Elementary School,TRUE,154-351-197,mobile,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2/1/23 3:23,1,
School 1,Public,Elementary School,TRUE,163-538-447,mobile,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2/1/23 3:23,1,
School 1,Public,Elementary School,TRUE,848-411-548,mobile,English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 18:41,1,
School 1,Public,Elementary School,TRUE,750-611-529,landline,English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:54,1,
School 1,Public,Elementary School,TRUE,413-810-713,mobile,English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 17:41,1,
School 1,Public,Elementary School,TRUE,371-109-437,mobile,English,0,0,1,0,0,1,0,0,0,0,0,0,0,0,TRUE,2/1/23 0:23,1,
School 1,Public,Elementary School,TRUE,856-485-819,mobile,English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:29,1,
School 1,Public,Elementary School,TRUE,197-167-957,mobile,English,0,0,1,0,0,1,0,0,0,0,0,0,0,0,TRUE,2/1/23 0:23,1,
School 1,Public,Elementary School,TRUE,481-837-877,mobile,English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:59,2,
School 1,Public,Elementary School,TRUE,143-288-052,mobile,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:56,2,
School 1,Public,Elementary School,TRUE,110-596-928,mobile,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:00,2,
School 1,Public,Elementary School,TRUE,326-766-750,mobile,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE,1/31/23 17:26,2,
School 1,Public,Elementary School,TRUE,610-359-947,mobile,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:55,2,
School 1,Public,Elementary School,TRUE,730-906-968,mobile,English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:13,3,
School 1,Public,Elementary School,TRUE,181-733-175,mobile,English,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,1/31/23 16:31,3,
School 1,Public,Elementary School,TRUE,564-578-895,mobile,English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:20,3,
School 1,Public,Elementary School,TRUE,148-089-421,mobile,Spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:55,3,
School 1,Public,Elementary School,TRUE,748-670-718,mobile,English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:57,3,
School 1,Public,Elementary School,TRUE,728-894-801,mobile,English,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:00,3,
School 1,Public,Elementary School,TRUE,600-966-160,mobile,English,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,2/1/23 5:43,3,
School 1,Public,Elementary School,TRUE,946-689-742,mobile,English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:59,3,
School 1,Public,Elementary School,TRUE,130-247-520,mobile,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:55,3,
School 1,Public,Elementary School,TRUE,513-269-480,mobile,English,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,1/31/23 14:52,4,
School 1,Public,Elementary School,TRUE,523-048-554,mobile,English,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,1/31/23 16:03,4,
School 1,Public,Elementary School,TRUE,473-592-859,mobile,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2/1/23 3:23,4,
School 1,Public,Elementary School,TRUE,731-451-519,mobile,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2/1/23 3:23,4,
School 1,Public,Elementary School,TRUE,201-030-259,mobile,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 15:56,4,
School 1,Public,Elementary School,TRUE,252-709-801,mobile,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:00,4,
School 1,Public,Elementary School,TRUE,465-198-831,mobile,English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:13,4,
School 1,Public,Elementary School,TRUE,216-248-028,mobile,English,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,2/1/23 5:43,4,
School 1,Public,Elementary School,TRUE,293-905-023,mobile,English,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,1/31/23 16:22,ALL,
School 1,Public,Elementary School,TRUE,120-510-567,mobile,English,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,2/1/23 6:07,ALL,
School 1,Public,Elementary School,TRUE,791-742-026,mobile,Spanish,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,1/31/23 15:52,NA,
School 2,Public,6-12,TRUE,281-147-363,mobile,English,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE,1/31/23 20:02,1,
School 2,Public,6-12,TRUE,693-201-810,mobile,Spanish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE,1/31/23 16:07,1,
School 2,Public,6-12,TRUE,780-385-603,landline,English,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE,1/31/23 16:14,1,
School 2,Public,6-12,TRUE,967-457-555,mobile,English,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE,1/31/23 16:07,1,
